timestamp,solar_generation_kwh,solar_radiation,cloud_cover_percent,temperature_celsius,hour_of_day
2015-01-03 08:00:00,0.0698,0.15466666666666667,42,10.38,8
2015-01-03 09:00:00,0.1467,0.23600000000000004,41,12.07,9
2015-01-03 10:00:00,0.195,0.21666666666666667,50,12.65,10
2015-01-03 11:00:00,0.1856,0.48299999999999993,31,11.13,11
2015-01-03 12:00:00,0.1325,0.5088333333333334,29,14.65,12
2015-01-03 13:00:00,0.0673,0.6833333333333335,18,13.31,13
2015-01-03 14:00:00,0.0224,0.574,16,13.17,14
2015-01-03 15:00:00,0.0024,0.25833333333333336,38,14.55,15
2015-01-03 16:00:00,0.0,0.10083333333333333,45,15.4,16
2015-01-03 17:00:00,0.0,0.07066666666666667,47,13.78,17
2015-01-03 18:00:00,0.0,0.0,50,13.54,18
2015-01-03 19:00:00,0.0,0.009000000000000001,46,10.81,19
2015-01-03 20:00:00,0.0,0.036000000000000004,46,6.77,20
2015-01-03 21:00:00,0.0,0.0065,61,6.01,21
2015-01-03 22:00:00,0.0,0.007666666666666666,77,9.03,22
2015-01-03 23:00:00,0.0,0.0,67,7.76,23
2015-01-04 00:00:00,0.0,0.0,90,6.22,0
2015-01-04 01:00:00,0.0,0.0,47,3.79,1
2015-01-04 02:00:00,0.0,0.0,87,3.7,2
2015-01-04 03:00:00,0.0,0.0,69,4.19,3
2015-01-04 04:00:00,0.0,0.0,67,5.11,4
2015-01-04 05:00:00,0.0,0.0,59,6.99,5
2015-01-04 06:00:00,0.0,0.019000000000000003,43,5.32,6
2015-01-04 07:00:00,0.0067,0.0525,55,5.91,7
2015-01-04 08:00:00,0.1117,0.13,48,7.97,8
2015-01-04 09:00:00,0.3179,0.126,58,10.92,9
2015-01-04 10:00:00,0.4762,0.408,28,11.88,10
2015-01-04 11:00:00,0.5253,0.585,22,11.43,11
2015-01-04 12:00:00,0.458,0.48516666666666663,29,13.75,12
2015-01-04 13:00:00,0.2778,0.3863333333333333,39,12.95,13
2015-01-04 14:00:00,0.1092,0.3966666666666666,30,14.42,14
2015-01-04 15:00:00,0.0096,0.40700000000000003,26,14.72,15
2015-01-04 16:00:00,0.0,0.189,37,14.89,16
2015-01-04 17:00:00,0.0,0.11549999999999999,37,15.0,17
2015-01-04 18:00:00,0.0,0.0,54,13.97,18
2015-01-04 19:00:00,0.0,0.0,42,10.27,19
2015-01-04 20:00:00,0.0,0.018000000000000002,46,11.25,20
2015-01-04 21:00:00,0.0,0.0,54,8.16,21
2015-01-04 22:00:00,0.0,0.0235,53,5.96,22
2015-01-04 23:00:00,0.0,0.0045000000000000005,73,6.98,23
2015-01-05 00:00:00,0.0,0.0,73,2.2,0
2015-01-05 01:00:00,0.0,0.0,70,5.54,1
2015-01-05 02:00:00,0.0,0.010666666666666665,68,5.24,2
2015-01-05 03:00:00,0.0,0.0,55,5.87,3
2015-01-05 04:00:00,0.0,0.011666666666666665,65,5.98,4
2015-01-05 05:00:00,0.0,0.0,59,5.14,5
2015-01-05 06:00:00,0.0,0.0,48,4.55,6
2015-01-05 07:00:00,0.0107,0.064,52,8.37,7
2015-01-05 08:00:00,0.1213,0.09316666666666668,57,8.06,8
2015-01-05 09:00:00,0.3426,0.0975,61,11.1,9
2015-01-05 10:00:00,0.5473,0.315,37,14.01,10
2015-01-05 11:00:00,0.6735,0.3946666666666667,36,12.22,11
2015-01-05 12:00:00,0.6501,0.4578333333333333,33,13.22,12
2015-01-05 13:00:00,0.4698,0.8059999999999999,7,16.51,13
2015-01-05 14:00:00,0.2051,0.43699999999999994,31,16.73,14
2015-01-05 15:00:00,0.0226,0.33499999999999996,33,16.19,15
2015-01-05 16:00:00,0.0,0.11999999999999998,55,12.88,16
2015-01-05 17:00:00,0.0,0.15633333333333332,33,13.67,17
2015-01-05 18:00:00,0.0,0.0,44,11.62,18
2015-01-05 19:00:00,0.0,0.0,48,10.05,19
2015-01-05 20:00:00,0.0,0.0,45,10.69,20
2015-01-05 21:00:00,0.0,0.0,67,9.86,21
2015-01-05 22:00:00,0.0,0.022,67,4.87,22
2015-01-05 23:00:00,0.0,0.0,78,3.67,23
2015-01-06 00:00:00,0.0,0.0071666666666666675,57,4.14,0
2015-01-06 01:00:00,0.0,0.0,85,2.81,1
2015-01-06 02:00:00,0.0,0.0,60,3.58,2
2015-01-06 03:00:00,0.0,0.0,78,3.82,3
2015-01-06 04:00:00,0.0,0.0,80,4.46,4
2015-01-06 05:00:00,0.0,0.023,54,4.84,5
2015-01-06 06:00:00,0.0,0.017666666666666667,47,6.24,6
2015-01-06 07:00:00,0.021,0.045,55,5.87,7
2015-01-06 08:00:00,0.2358,0.18999999999999997,40,8.95,8
2015-01-06 09:00:00,0.5385,0.36400000000000005,22,9.38,9
2015-01-06 10:00:00,0.7639,0.3413333333333333,36,10.91,10
2015-01-06 11:00:00,0.8343,0.5700000000000001,24,13.22,11
2015-01-06 12:00:00,0.7286,0.4441666666666667,35,12.5,12
2015-01-06 13:00:00,0.4541,0.6210000000000001,19,13.24,13
2015-01-06 14:00:00,0.1783,0.26583333333333337,45,13.59,14
2015-01-06 15:00:00,0.0187,0.4030000000000001,22,14.52,15
2015-01-06 16:00:00,0.0,0.23449999999999996,33,12.13,16
2015-01-06 17:00:00,0.0,0.10450000000000001,43,16.02,17
2015-01-06 18:00:00,0.0,0.0,26,10.78,18
2015-01-06 19:00:00,0.0,0.016666666666666666,50,9.96,19
2015-01-06 20:00:00,0.0,0.0,62,10.37,20
2015-01-06 21:00:00,0.0,0.0,40,10.16,21
2015-01-06 22:00:00,0.0,0.0,62,5.31,22
2015-01-06 23:00:00,0.0,0.015999999999999997,68,4.03,23
2015-01-07 00:00:00,0.0,0.0,74,4.44,0
2015-01-07 01:00:00,0.0,0.007666666666666666,54,4.78,1
2015-01-07 02:00:00,0.0,0.0,56,8.09,2
2015-01-07 03:00:00,0.0,0.0,69,2.55,3
2015-01-07 04:00:00,0.0,0.0,70,3.95,4
2015-01-07 05:00:00,0.0,0.011,67,3.67,5
2015-01-07 06:00:00,0.0,0.0,62,7.6,6
2015-01-07 07:00:00,0.0057,0.10266666666666667,44,6.51,7
2015-01-07 08:00:00,0.0699,0.13883333333333334,51,6.68,8
2015-01-07 09:00:00,0.2079,0.19066666666666665,48,8.13,9
2015-01-07 10:00:00,0.3511,0.45499999999999996,30,12.37,10
2015-01-07 11:00:00,0.4333,0.19066666666666665,56,13.61,11
2015-01-07 12:00:00,0.4262,0.43333333333333335,35,13.98,12
2015-01-07 13:00:00,0.3212,0.6696666666666667,18,13.26,13
2015-01-07 14:00:00,0.1327,0.363,34,14.19,14
2015-01-07 15:00:00,0.0154,0.40700000000000003,26,14.19,15
2015-01-07 16:00:00,0.0,0.186,38,12.8,16
2015-01-07 17:00:00,0.0,0.07066666666666667,47,12.18,17
2015-01-07 18:00:00,0.0,0.0,33,12.49,18
2015-01-07 19:00:00,0.0,0.0,64,9.33,19
2015-01-07 20:00:00,0.0,0.0,59,7.3,20
2015-01-07 21:00:00,0.0,0.012666666666666666,62,7.47,21
2015-01-07 22:00:00,0.0,0.0,84,5.53,22
2015-01-07 23:00:00,0.0,0.0,63,7.76,23
2015-01-08 00:00:00,0.0,0.0,63,5.24,0
2015-01-08 01:00:00,0.0,0.0,62,3.3,1
2015-01-08 02:00:00,0.0,0.005666666666666666,66,2.85,2
2015-01-08 03:00:00,0.0,0.0,69,5.61,3
2015-01-08 04:00:00,0.0,0.010333333333333335,69,5.41,4
2015-01-08 05:00:00,0.0,0.012,64,7.4,5
2015-01-08 06:00:00,0.0,0.006,64,8.26,6
2015-01-08 07:00:00,0.0065,0.05483333333333333,53,6.76,7
2015-01-08 08:00:00,0.0512,0.06166666666666666,63,10.19,8
2015-01-08 09:00:00,0.1243,0.2416666666666667,42,11.31,9
2015-01-08 10:00:00,0.1994,0.105,65,11.64,10
2015-01-08 11:00:00,0.2366,0.372,38,12.07,11
2015-01-08 12:00:00,0.1953,0.5826666666666667,24,11.92,12
2015-01-08 13:00:00,0.1192,0.611,22,12.74,13
2015-01-08 14:00:00,0.0475,0.34650000000000003,37,13.38,14
2015-01-08 15:00:00,0.0067,0.35,30,11.42,15
2015-01-08 16:00:00,0.0,0.17283333333333334,39,11.04,16
2015-01-08 17:00:00,0.0,0.081,46,11.51,17
2015-01-08 18:00:00,0.0,0.0,41,10.0,18
2015-01-08 19:00:00,0.0,0.009500000000000001,43,13.09,19
2015-01-08 20:00:00,0.0,0.009666666666666667,42,9.18,20
2015-01-08 21:00:00,0.0,0.007833333333333333,53,7.98,21
2015-01-08 22:00:00,0.0,0.0,69,5.79,22
2015-01-08 23:00:00,0.0,0.0,68,6.97,23
2015-01-09 00:00:00,0.0,0.0,50,5.17,0
2015-01-09 01:00:00,0.0,0.004833333333333334,71,3.62,1
2015-01-09 02:00:00,0.0,0.004166666666666667,75,2.83,2
2015-01-09 03:00:00,0.0,0.0,63,4.46,3
2015-01-09 04:00:00,0.0,0.017499999999999998,65,2.99,4
2015-01-09 05:00:00,0.0,0.019000000000000003,62,7.21,5
2015-01-09 06:00:00,0.0,0.0,45,6.07,6
2015-01-09 07:00:00,0.0062,0.05999999999999999,55,9.93,7
2015-01-09 08:00:00,0.0483,0.08249999999999999,55,10.37,8
2015-01-09 09:00:00,0.1117,0.152,52,10.95,9
2015-01-09 10:00:00,0.1604,0.20800000000000002,48,13.1,10
2015-01-09 11:00:00,0.169,0.5426666666666666,26,12.35,11
2015-01-09 12:00:00,0.1417,0.6240000000000001,22,12.71,12
2015-01-09 13:00:00,0.0998,0.43549999999999994,33,12.55,13
2015-01-09 14:00:00,0.0403,0.40249999999999997,31,13.51,14
2015-01-09 15:00:00,0.0053,0.26550000000000007,41,14.56,15
2015-01-09 16:00:00,0.0,0.04650000000000001,69,13.54,16
2015-01-09 17:00:00,0.0,0.05600000000000001,44,12.86,17
2015-01-09 18:00:00,0.0,0.0,56,12.93,18
2015-01-09 19:00:00,0.0,0.0,53,8.95,19
2015-01-09 20:00:00,0.0,0.006833333333333334,59,8.67,20
2015-01-09 21:00:00,0.0,0.0,56,7.89,21
2015-01-09 22:00:00,0.0,0.0,73,4.74,22
2015-01-09 23:00:00,0.0,0.0,55,4.47,23
2015-01-10 00:00:00,0.0,0.0,65,4.27,0
2015-01-10 01:00:00,0.0,0.0,63,5.81,1
2015-01-10 02:00:00,0.0,0.024,64,3.65,2
2015-01-10 03:00:00,0.0,0.001666666666666668,95,3.75,3
2015-01-10 04:00:00,0.0,0.0,46,4.21,4
2015-01-10 05:00:00,0.0,0.0,69,6.58,5
2015-01-10 06:00:00,0.0,0.0,35,7.24,6
2015-01-10 07:00:00,0.0062,0.0475,43,8.67,7
2015-01-10 08:00:00,0.063,0.11616666666666667,59,10.05,8
2015-01-10 09:00:00,0.2314,0.23383333333333334,39,8.33,9
2015-01-10 10:00:00,0.4854,0.4745,27,11.83,10
2015-01-10 11:00:00,0.6055,0.492,28,14.08,11
2015-01-10 12:00:00,0.5209,0.35583333333333333,39,13.38,12
2015-01-10 13:00:00,0.3164,0.611,22,14.3,13
2015-01-10 14:00:00,0.1103,0.414,31,14.72,14
2015-01-10 15:00:00,0.0098,0.31266666666666665,33,13.92,15
2015-01-10 16:00:00,0.0,0.312,28,10.8,16
2015-01-10 17:00:00,0.0,0.044333333333333336,62,10.59,17
2015-01-10 18:00:00,0.0,0.0,46,11.12,18
2015-01-10 19:00:00,0.0,0.04533333333333333,32,11.11,19
2015-01-10 20:00:00,0.0,0.006833333333333334,59,9.85,20
2015-01-10 21:00:00,0.0,0.025,50,8.86,21
2015-01-10 22:00:00,0.0,0.0,72,5.86,22
2015-01-10 23:00:00,0.0,0.0,57,3.81,23
2015-01-11 00:00:00,0.0,0.0,74,1.69,0
2015-01-11 01:00:00,0.0,0.008333333333333333,75,5.87,1
2015-01-11 02:00:00,0.0,0.0,80,0.98,2
2015-01-11 03:00:00,0.0,0.007499999999999999,55,4.39,3
2015-01-11 04:00:00,0.0,0.012666666666666666,62,4.83,4
2015-01-11 05:00:00,0.0,0.0,55,5.0,5
2015-01-11 06:00:00,0.0,0.0,52,6.62,6
2015-01-11 07:00:00,0.0142,0.025833333333333337,69,7.87,7
2015-01-11 08:00:00,0.1232,0.1275,49,6.22,8
2015-01-11 09:00:00,0.2833,0.3576666666666667,26,9.51,9
2015-01-11 10:00:00,0.3912,0.21666666666666667,48,10.89,10
2015-01-11 11:00:00,0.4728,0.18333333333333332,56,9.68,11
2015-01-11 12:00:00,0.4567,0.3383333333333334,42,14.27,12
2015-01-11 13:00:00,0.3469,0.6516666666666667,15,12.95,13
2015-01-11 14:00:00,0.1634,0.444,28,15.31,14
2015-01-11 15:00:00,0.0207,0.187,49,13.34,15
2015-01-11 16:00:00,0.0005,0.219,27,14.24,16
2015-01-11 17:00:00,0.0,0.084,44,12.79,17
2015-01-11 18:00:00,0.0,0.0,49,12.24,18
2015-01-11 19:00:00,0.0,0.0,38,10.54,19
2015-01-11 20:00:00,0.0,0.0,53,9.58,20
2015-01-11 21:00:00,0.0,0.012833333333333334,23,8.11,21
2015-01-11 22:00:00,0.0,0.008166666666666666,51,3.78,22
2015-01-11 23:00:00,0.0,0.0,63,4.36,23
2015-01-12 00:00:00,0.0,0.0,59,2.68,0
2015-01-12 01:00:00,0.0,0.001833333333333333,89,3.65,1
2015-01-12 02:00:00,0.0,0.0,56,2.55,2
2015-01-12 03:00:00,0.0,0.0,65,2.65,3
2015-01-12 04:00:00,0.0,0.0,67,6.2,4
2015-01-12 05:00:00,0.0,0.0,76,1.65,5
2015-01-12 06:00:00,0.0,0.0,43,2.71,6
2015-01-12 07:00:00,0.0094,0.04783333333333334,59,6.77,7
2015-01-12 08:00:00,0.0638,0.117,46,7.93,8
2015-01-12 09:00:00,0.1627,0.3141666666666667,35,8.43,9
2015-01-12 10:00:00,0.2424,0.27,40,9.36,10
2015-01-12 11:00:00,0.2696,0.40249999999999997,31,13.12,11
2015-01-12 12:00:00,0.2568,0.568,29,12.16,12
2015-01-12 13:00:00,0.1705,0.4305,37,16.11,13
2015-01-12 14:00:00,0.0734,0.4686666666666666,26,13.03,14
2015-01-12 15:00:00,0.0161,0.27083333333333337,35,13.24,15
2015-01-12 16:00:00,0.0002,0.16433333333333336,42,13.56,16
2015-01-12 17:00:00,0.0,0.024,52,11.43,17
2015-01-12 18:00:00,0.0,0.0,30,9.14,18
2015-01-12 19:00:00,0.0,0.0,69,9.85,19
2015-01-12 20:00:00,0.0,0.011333333333333332,32,9.21,20
2015-01-12 21:00:00,0.0,0.0,53,6.37,21
2015-01-12 22:00:00,0.0,0.0,62,6.45,22
2015-01-12 23:00:00,0.0,0.005000000000000001,70,2.49,23
2015-01-13 00:00:00,0.0,0.025333333333333333,62,2.8,0
2015-01-13 01:00:00,0.0,0.0,67,5.17,1
2015-01-13 02:00:00,0.0,0.013,61,2.35,2
2015-01-13 03:00:00,0.0,0.0,61,1.81,3
2015-01-13 04:00:00,0.0,0.0045000000000000005,73,3.57,4
2015-01-13 05:00:00,0.0,0.0,66,7.26,5
2015-01-13 06:00:00,0.0,0.0,54,5.64,6
2015-01-13 07:00:00,0.0591,0.04083333333333333,65,4.39,7
2015-01-13 08:00:00,0.3936,0.10266666666666666,56,8.73,8
2015-01-13 09:00:00,0.7947,0.15,50,10.27,9
2015-01-13 10:00:00,1.0949,0.29333333333333333,45,12.82,10
2015-01-13 11:00:00,1.2188,0.4666666666666666,30,12.75,11
2015-01-13 12:00:00,1.0822,0.5733333333333334,20,13.32,12
2015-01-13 13:00:00,0.756,0.39,35,13.85,13
2015-01-13 14:00:00,0.3326,0.341,38,12.89,14
2015-01-13 15:00:00,0.0367,0.35,30,13.46,15
2015-01-13 16:00:00,0.0003,0.21849999999999997,31,12.91,16
2015-01-13 17:00:00,0.0,0.08499999999999999,49,11.92,17
2015-01-13 18:00:00,0.0,0.010166666666666666,39,11.47,18
2015-01-13 19:00:00,0.0,0.0,57,8.43,19
2015-01-13 20:00:00,0.0,0.0,50,7.64,20
2015-01-13 21:00:00,0.0,0.0,53,8.72,21
2015-01-13 22:00:00,0.0,0.014000000000000002,72,2.06,22
2015-01-13 23:00:00,0.0,0.0,78,4.26,23
2015-01-14 00:00:00,0.0,0.0,82,3.69,0
2015-01-14 01:00:00,0.0,0.003666666666666666,78,1.93,1
2015-01-14 02:00:00,0.0,0.003833333333333333,77,3.75,2
2015-01-14 03:00:00,0.0,0.009666666666666667,71,0.42,3
2015-01-14 04:00:00,0.0,0.018,64,5.54,4
2015-01-14 05:00:00,0.0,0.0,71,7.9,5
2015-01-14 06:00:00,0.0,0.0,54,8.41,6
2015-01-14 07:00:00,0.0189,0.03833333333333333,54,4.29,7
2015-01-14 08:00:00,0.1539,0.10833333333333334,50,10.15,8
2015-01-14 09:00:00,0.3473,0.305,39,10.92,9
2015-01-14 10:00:00,0.4259,0.15999999999999998,52,9.62,10
2015-01-14 11:00:00,0.3995,0.6363333333333333,17,10.54,11
2015-01-14 12:00:00,0.3614,0.6075,19,13.13,12
2015-01-14 13:00:00,0.2518,0.33433333333333337,41,13.82,13
2015-01-14 14:00:00,0.1027,0.3,40,14.35,14
2015-01-14 15:00:00,0.0156,0.2745,39,13.37,15
2015-01-14 16:00:00,0.0003,0.16999999999999998,40,11.43,16
2015-01-14 17:00:00,0.0,0.11366666666666665,38,11.54,17
2015-01-14 18:00:00,0.0,0.0,25,11.5,18
2015-01-14 19:00:00,0.0,0.0,47,10.07,19
2015-01-14 20:00:00,0.0,0.018666666666666668,44,7.33,20
2015-01-14 21:00:00,0.0,0.0,67,6.28,21
2015-01-14 22:00:00,0.0,0.0,60,4.81,22
2015-01-14 23:00:00,0.0,0.012666666666666666,62,2.55,23
2015-01-15 00:00:00,0.0,0.0,66,1.79,0
2015-01-15 01:00:00,0.0,0.0,75,4.71,1
2015-01-15 02:00:00,0.0,0.0,68,2.2,2
2015-01-15 03:00:00,0.0,0.0,58,2.3,3
2015-01-15 04:00:00,0.0,0.0,69,3.82,4
2015-01-15 05:00:00,0.0,0.006,64,5.11,5
2015-01-15 06:00:00,0.0,0.0,54,4.87,6
2015-01-15 07:00:00,0.0179,0.08616666666666666,53,6.05,7
2015-01-15 08:00:00,0.1107,0.159,47,6.46,8
2015-01-15 09:00:00,0.2713,0.372,28,5.16,9
2015-01-15 10:00:00,0.398,0.4316666666666667,26,8.74,10
2015-01-15 11:00:00,0.4118,0.5646666666666667,23,11.07,11
2015-01-15 12:00:00,0.3664,0.49883333333333335,27,11.58,12
2015-01-15 13:00:00,0.256,0.45333333333333325,32,12.52,13
2015-01-15 14:00:00,0.1159,0.2755,43,12.52,14
2015-01-15 15:00:00,0.0196,0.2643333333333333,39,15.58,15
2015-01-15 16:00:00,0.0006,0.23799999999999996,32,8.14,16
2015-01-15 17:00:00,0.0,0.15166666666666667,35,11.44,17
2015-01-15 18:00:00,0.0,0.01,40,11.18,18
2015-01-15 19:00:00,0.0,0.0,48,8.42,19
2015-01-15 20:00:00,0.0,0.01633333333333333,51,8.04,20
2015-01-15 21:00:00,0.0,0.0,59,6.87,21
2015-01-15 22:00:00,0.0,0.0245,51,5.04,22
2015-01-15 23:00:00,0.0,0.013500000000000002,73,3.12,23
2015-01-16 00:00:00,0.0,0.0033333333333333327,80,2.29,0
2015-01-16 01:00:00,0.0,0.0,68,2.03,1
2015-01-16 02:00:00,0.0,0.0,72,1.09,2
2015-01-16 03:00:00,0.0,0.0115,77,4.05,3
2015-01-16 04:00:00,0.0,0.028,58,2.95,4
2015-01-16 05:00:00,0.0,0.0,67,7.0,5
2015-01-16 06:00:00,0.0,0.0,59,6.4,6
2015-01-16 07:00:00,0.0335,0.035,58,7.58,7
2015-01-16 08:00:00,0.1993,0.16266666666666665,39,9.09,8
2015-01-16 09:00:00,0.4003,0.23750000000000004,43,6.73,9
2015-01-16 10:00:00,0.5381,0.3048333333333334,41,8.8,10
2015-01-16 11:00:00,0.5416,0.25650000000000006,43,12.99,11
2015-01-16 12:00:00,0.4419,0.4008333333333334,35,11.49,12
2015-01-16 13:00:00,0.3031,0.23766666666666666,54,12.16,13
2015-01-16 14:00:00,0.1394,0.5193333333333333,24,13.67,14
2015-01-16 15:00:00,0.0202,0.2753333333333334,41,15.17,15
2015-01-16 16:00:00,0.0005,0.21999999999999997,34,12.01,16
2015-01-16 17:00:00,0.0,0.04783333333333334,59,12.89,17
2015-01-16 18:00:00,0.0,0.012,28,9.98,18
2015-01-16 19:00:00,0.0,0.0305,39,9.26,19
2015-01-16 20:00:00,0.0,0.007833333333333333,53,6.43,20
2015-01-16 21:00:00,0.0,0.0,35,6.82,21
2015-01-16 22:00:00,0.0,0.0071666666666666675,57,6.01,22
2015-01-16 23:00:00,0.0,0.007333333333333332,56,3.06,23
2015-01-17 00:00:00,0.0,0.0,72,0.79,0
2015-01-17 01:00:00,0.0,0.009666666666666667,71,0.31,1
2015-01-17 02:00:00,0.0,0.0,92,1.38,2
2015-01-17 03:00:00,0.0,0.002666666666666667,84,5.05,3
2015-01-17 04:00:00,0.0,0.007,58,3.98,4
2015-01-17 05:00:00,0.0,0.0,45,6.89,5
2015-01-17 06:00:00,0.0,0.0,66,6.98,6
2015-01-17 07:00:00,0.0104,0.08266666666666667,38,6.53,7
2015-01-17 08:00:00,0.1052,0.05666666666666666,66,3.97,8
2015-01-17 09:00:00,0.2861,0.17633333333333334,54,8.08,9
2015-01-17 10:00:00,0.4604,0.37333333333333335,36,9.12,10
2015-01-17 11:00:00,0.5387,0.7105,13,9.16,11
2015-01-17 12:00:00,0.4982,0.3325000000000001,43,9.42,12
2015-01-17 13:00:00,0.3576,0.4933333333333333,26,13.26,13
2015-01-17 14:00:00,0.1696,0.2803333333333334,42,11.09,14
2015-01-17 15:00:00,0.029,0.494,22,10.84,15
2015-01-17 16:00:00,0.0006,0.2713333333333333,26,13.4,16
2015-01-17 17:00:00,0.0,0.08133333333333333,39,9.04,17
2015-01-17 18:00:00,0.0,0.0,45,10.64,18
2015-01-17 19:00:00,0.0,0.0,44,8.18,19
2015-01-17 20:00:00,0.0,0.006666666666666667,60,9.45,20
2015-01-17 21:00:00,0.0,0.017666666666666667,47,5.21,21
2015-01-17 22:00:00,0.0,0.006333333333333333,62,4.27,22
2015-01-17 23:00:00,0.0,0.0,70,2.9,23
2015-01-18 00:00:00,0.0,0.0,71,5.89,0
2015-01-18 01:00:00,0.0,0.003000000000000001,82,3.79,1
2015-01-18 02:00:00,0.0,0.0,56,5.23,2
2015-01-18 03:00:00,0.0,0.0,58,2.23,3
2015-01-18 04:00:00,0.0,0.006000000000000002,82,3.31,4
2015-01-18 05:00:00,0.0,0.0,69,2.53,5
2015-01-18 06:00:00,0.0,0.008,52,4.89,6
2015-01-18 07:00:00,0.0286,0.009000000000000001,73,4.71,7
2015-01-18 08:00:00,0.2168,0.15583333333333335,45,5.94,8
2015-01-18 09:00:00,0.4723,0.15833333333333333,50,9.1,9
2015-01-18 10:00:00,0.6723,0.29150000000000004,47,9.2,10
2015-01-18 11:00:00,0.7569,0.17500000000000002,58,11.77,11
2015-01-18 12:00:00,0.6862,0.29700000000000004,46,10.24,12
2015-01-18 13:00:00,0.493,0.4433333333333333,30,10.01,13
2015-01-18 14:00:00,0.228,0.32450000000000007,41,14.13,14
2015-01-18 15:00:00,0.0316,0.24583333333333338,41,13.68,15
2015-01-18 16:00:00,0.0007,0.14133333333333334,47,9.15,16
2015-01-18 17:00:00,0.0,0.15000000000000002,25,10.64,17
2015-01-18 18:00:00,0.0,0.0,49,13.79,18
2015-01-18 19:00:00,0.0,0.013666666666666667,59,9.9,19
2015-01-18 20:00:00,0.0,0.010833333333333334,35,7.44,20
2015-01-18 21:00:00,0.0,0.0,46,6.72,21
2015-01-18 22:00:00,0.0,0.009833333333333335,41,5.52,22
2015-01-18 23:00:00,0.0,0.0,64,2.9,23
2015-01-19 00:00:00,0.0,0.008666666666666666,74,2.57,0
2015-01-19 01:00:00,0.0,0.0,83,-0.29,1
2015-01-19 02:00:00,0.0,0.008666666666666666,74,2.11,2
2015-01-19 03:00:00,0.0,0.0016666666666666663,90,0.31,3
2015-01-19 04:00:00,0.0,0.0,51,0.24,4
2015-01-19 05:00:00,0.0,0.03666666666666667,45,2.41,5
2015-01-19 06:00:00,0.0,0.0071666666666666675,57,4.94,6
2015-01-19 07:00:00,0.0336,0.045500000000000006,61,2.78,7
2015-01-19 08:00:00,0.1781,0.14733333333333334,48,7.74,8
2015-01-19 09:00:00,0.3646,0.42900000000000005,22,6.26,9
